case,Year,R.mth,date,Country_residence,City_residence,Purpose_grp,Purpose,Air_Terminal,Sea_Terminal,Land_Terminal,langint,1st_visit,length_stay,travel_type,f1_gender,f3_occupation,f4_industry,f5_designation,f5_designation.oth,totacc_$,totfnb_$,tottran_$,totbiz_$,totedu_$,totmedi_$,tototh_$,totshopping_$,MainAccomm,MainHotel,travel_companion.1,travel_companion.2,travel_companion.3,travel_companion.4,travel_companion.5
6565,2014,April,7-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,30-59 days,Business (Non-Packaged),Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Engineer,0,0,0,0,0,0,0,337.81,Service Apartment,,Alone,,,,
6566,2014,April,7-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,312.07,113.48,21.28,0,0,0,0,839.81,Hotel,Concorde Hotel Singapore,Spouse,,,,
6596,2014,April,8-Apr-14,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Female,Student,Others (specify),Others (specify),,0,18.91,14.19,0,0,0,0,109.81,Homestay,,Business associates/ Colleagues,,,,
6600,2014,April,8-Apr-14,Indonesia,Medan,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,1 day,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,378.27,94.57,47.28,0,0,0,0,89.81,Hotel,Mandarin Orchard Singapore,Spouse,Parents/ Parents-in-law,,,
6601,2014,April,8-Apr-14,Indonesia,Medan,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 1,,,Chinese,Yes,2 days,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",InfoComm Technology,Others (specify),Software Engineer,720.47,239.85,86.33,0,0,500,0,89.81,Hotel,Furama City Centre Singapore,Parents/ Parents-in-law,,,,
6602,2014,April,8-Apr-14,Indonesia,Medan,Leisure,Visiting friends/relatives,Terminal 1,,,Chinese,No,8-10 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,0,0,2.66,0,0,0,0,119.81,Stayed with relatives/ friends,,Spouse,,,,
6614,2014,April,8-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 3,,,Chinese,No,2 days,Non-Packaged,Male,Retired,Others (specify),Others (specify),,418.46,42.56,24.82,0,0,400,0,129.81,Hotel,York Hotel,Spouse,,,,
6615,2014,April,8-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,English,No,1 day,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,368.81,42.56,28.37,0,0,200,0,184.81,Hotel,The Elizabeth,Spouse,,,,
6616,2014,April,8-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,1 day,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Fincial and Insurance Activities,Mager/ Assistant Mager,,304.65,212.78,283.7,0,0,0,0,89.81,Hotel,M Hotel Singapore,Business associates/ Colleagues,,,,
6619,2014,April,8-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,Convention/conference,Terminal 3,,,English,No,1 day,Business (Non-Packaged),Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,241.28,56.74,42.56,0,0,0,0,403.81,Hotel,River View Hotel,Spouse,,,,
6620,2014,April,8-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,2 days,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Transportation and Logistics,Mager/ Assistant Mager,,1039.31,170.22,0,0,0,0,0,169.81,Hotel,Singapore Marriott Hotel,Alone,,,,
6627,2014,April,8-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,2 days,Non-Packaged,Female,Student,Others (specify),Others (specify),,0,0,0,0,0,0,0,119.81,Service Apartment,,Parents/ Parents-in-law,,,,
6628,2014,April,8-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,Chinese,No,1 day,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,453.92,56.74,42.56,0,0,320,0,119.81,Hotel,Mandarin Orchard Singapore,Spouse,,,,
6646,2014,April,8-Apr-14,Indonesia,Bandung,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,2 days,Non-Packaged,Female,"Businessman (small company, <50 people)",Transportation and Logistics,General Mager,,189.13,70.93,28.37,0,0,0,0,176.47,Hotel,V Hotel Lavender,Siblings,,,,
6647,2014,April,8-Apr-14,Indonesia,Bandung,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,4 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,0,56.74,14.19,0,0,0,0,89.81,Stayed with relatives/ friends,,Siblings,,,,
6648,2014,April,8-Apr-14,Indonesia,Bandung,Leisure,Visiting friends/relatives,Terminal 1,,,English,Yes,3 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,0,56.74,18.91,0,0,0,0,89.81,Stayed with relatives/ friends,,Friends,,,,
6650,2014,April,8-Apr-14,Indonesia,Bandung,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",Terminal 1,,,English,No,Under 1 day,Non-Packaged,Male,Others (specify),InfoComm Technology,Others (specify),Self-employes,0,17.02,79.31,0,0,0,0,589.81,,,Alone,,,,
6651,2014,April,8-Apr-14,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,4 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,21.28,14.19,0,0,0,0,252.81,Hostel (Rental by bed),,Others,,,,
6652,2014,April,8-Apr-14,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,4 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,17.73,14.19,0,0,0,0,119.81,Hostel (Rental by bed),,Others,,,,
6657,2014,April,8-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,7 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,199.72,56.74,12.16,0,0,0,0,1129.81,Hotel,Orchard Parade Hotel,Spouse,Siblings,,,
6698,2014,April,8-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,3 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)","Design related activities (e.g. architecture, interior, product, graphic design etc)",Director,,453.92,94.57,23.64,0,0,0,0,189.81,Hotel,Ibis Singapore (Not Specified),Alone,,,,
6704,2014,April,9-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,519.65,70.93,35.46,0,0,3000,0,89.81,Hotel,Singapore Marriott Hotel,Spouse,,,,
6705,2014,April,9-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,2 days,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Wholesale and Retail Trade,Mager/ Assistant Mager,,767.91,0,28.37,0,0,0,0,119.81,Hotel,Royal Plaza,Alone,,,,
6706,2014,April,9-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,3 days,Business (Non-Packaged),Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Engineer,190.75,47.28,0,0,0,0,0,159.81,Hotel,Ibis Singapore Novena,Business associates/ Colleagues,,,,
6707,2014,April,9-Apr-14,Indonesia,Jakarta,Education+Accompanying Pax,Skills development/skills training/vocational training,Terminal 3,,,English,No,6 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Accountant,157.16,0,0,0,0,0,0,209.81,Hotel,Hotel 81 - Bugis,Business associates/ Colleagues,,,,
6709,2014,April,9-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,English,No,1 day,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,453.92,212.78,56.74,0,0,520,0,889.81,Hotel,Mandarin Orchard Singapore,Spouse,,,,
6710,2014,April,9-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for In-patient treatment,Terminal 3,,,English,No,6 days,Non-Packaged,Male,Others (specify),Real Estate Activities,Others (specify),Property Agent,141.85,70.93,35.46,0,0,6000,0,189.81,Hotel,Dorsett Singapore,Partner/ Boyfriend/ Girlfriend,Others,,,
6711,2014,April,9-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,English,No,2 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Banker,0,47.28,23.64,0,0,450,0,789.81,Stayed with relatives/ friends,,Parents/ Parents-in-law,Other relatives,,,
